Country,YearsCodePro,YearsCodeProCount
Colombia,0-2 years,67.0
Colombia,12-14 years,11.0
Colombia,15-17 years,15.0
Colombia,18-20 years,8.0
Colombia,3-5 years,76.0
Colombia,6-8 years,55.0
Colombia,9-11 years,27.0
Colombia,> 20 years,6.0
"Congo, Republic of the...",3-5 years,3.0
Costa Rica,0-2 years,17.0
Costa Rica,12-14 years,8.0
Costa Rica,15-17 years,9.0
Costa Rica,18-20 years,5.0
Costa Rica,3-5 years,15.0
Costa Rica,6-8 years,10.0
Costa Rica,9-11 years,6.0
Costa Rica,> 20 years,2.0
Croatia,0-2 years,53.0
Croatia,12-14 years,12.0
Croatia,15-17 years,8.0
Croatia,18-20 years,13.0
Croatia,3-5 years,64.0
Croatia,6-8 years,35.0
Croatia,9-11 years,20.0
Croatia,> 20 years,9.0
