Country,YearsCodePro,YearsCodeProCount
Iceland,0-2 years,6.0
Iceland,12-14 years,1.0
Iceland,15-17 years,4.0
Iceland,18-20 years,4.0
Iceland,3-5 years,9.0
Iceland,6-8 years,10.0
Iceland,9-11 years,3.0
Iceland,> 20 years,1.0
India,0-2 years,2358.0
India,12-14 years,212.0
India,15-17 years,85.0
India,18-20 years,77.0
India,3-5 years,2582.0
India,6-8 years,1203.0
India,9-11 years,436.0
India,> 20 years,91.0
Indonesia,0-2 years,129.0
Indonesia,12-14 years,14.0
Indonesia,15-17 years,13.0
Indonesia,18-20 years,9.0
Indonesia,3-5 years,106.0
Indonesia,6-8 years,45.0
Indonesia,9-11 years,34.0
Indonesia,> 20 years,9.0
Iran,0-2 years,175.0
Iran,12-14 years,28.0
Iran,15-17 years,23.0
Iran,18-20 years,8.0
Iran,3-5 years,212.0
Iran,6-8 years,123.0
Iran,9-11 years,67.0
Iran,> 20 years,4.0
Iraq,0-2 years,8.0
Iraq,3-5 years,9.0
Iraq,6-8 years,6.0
Iraq,9-11 years,1.0
Ireland,0-2 years,81.0
Ireland,12-14 years,34.0
Ireland,15-17 years,30.0
Ireland,18-20 years,29.0
Ireland,3-5 years,102.0
Ireland,6-8 years,68.0
Ireland,9-11 years,43.0
Ireland,> 20 years,45.0
Israel,0-2 years,132.0
Israel,12-14 years,53.0
Israel,15-17 years,54.0
Israel,18-20 years,54.0
Israel,3-5 years,209.0
Israel,6-8 years,168.0
Israel,9-11 years,113.0
Israel,> 20 years,56.0
Italy,0-2 years,223.0
Italy,12-14 years,102.0
Italy,15-17 years,78.0
Italy,18-20 years,105.0
Italy,3-5 years,328.0
Italy,6-8 years,158.0
Italy,9-11 years,156.0
Italy,> 20 years,125.0
Jamaica,0-2 years,7.0
Jamaica,18-20 years,3.0
Jamaica,3-5 years,3.0
Jamaica,6-8 years,3.0
Jamaica,9-11 years,2.0
Japan,0-2 years,62.0
Japan,12-14 years,21.0
Japan,15-17 years,14.0
Japan,18-20 years,24.0
Japan,3-5 years,113.0
Japan,6-8 years,58.0
Japan,9-11 years,34.0
Japan,> 20 years,24.0
Jordan,0-2 years,18.0
Jordan,12-14 years,2.0
Jordan,15-17 years,1.0
Jordan,18-20 years,3.0
Jordan,3-5 years,13.0
Jordan,6-8 years,8.0
Jordan,9-11 years,6.0
Kazakhstan,0-2 years,19.0
Kazakhstan,12-14 years,3.0
Kazakhstan,15-17 years,2.0
Kazakhstan,18-20 years,1.0
Kazakhstan,3-5 years,13.0
Kazakhstan,6-8 years,10.0
Kazakhstan,9-11 years,4.0
Kenya,0-2 years,68.0
Kenya,12-14 years,1.0
Kenya,18-20 years,1.0
Kenya,3-5 years,62.0
Kenya,6-8 years,21.0
Kenya,9-11 years,5.0
Kuwait,0-2 years,2.0
Kuwait,15-17 years,1.0
Kuwait,3-5 years,6.0
Kuwait,6-8 years,4.0
Kuwait,9-11 years,1.0
Kyrgyzstan,0-2 years,5.0
Kyrgyzstan,18-20 years,1.0
Kyrgyzstan,3-5 years,5.0
Kyrgyzstan,6-8 years,1.0
Kyrgyzstan,9-11 years,4.0
Lao People's Democratic Republic,0-2 years,1.0
Lao People's Democratic Republic,6-8 years,1.0
Lao People's Democratic Republic,9-11 years,1.0
Latvia,0-2 years,27.0
Latvia,12-14 years,12.0
Latvia,15-17 years,7.0
Latvia,18-20 years,3.0
Latvia,3-5 years,37.0
Latvia,6-8 years,22.0
Latvia,9-11 years,11.0
Latvia,> 20 years,5.0
Lebanon,0-2 years,33.0
Lebanon,12-14 years,3.0
Lebanon,15-17 years,4.0
Lebanon,3-5 years,33.0
Lebanon,6-8 years,12.0
Lebanon,9-11 years,10.0
Lebanon,> 20 years,1.0
Lesotho,3-5 years,1.0
Lesotho,6-8 years,1.0
Libyan Arab Jamahiriya,0-2 years,3.0
Libyan Arab Jamahiriya,15-17 years,1.0
Libyan Arab Jamahiriya,3-5 years,2.0
Libyan Arab Jamahiriya,9-11 years,2.0
Liechtenstein,12-14 years,1.0
Liechtenstein,3-5 years,1.0
Lithuania,0-2 years,60.0
Lithuania,12-14 years,15.0
Lithuania,15-17 years,9.0
Lithuania,18-20 years,6.0
Lithuania,3-5 years,52.0
Lithuania,6-8 years,44.0
Lithuania,9-11 years,23.0
Lithuania,> 20 years,3.0
Luxembourg,0-2 years,6.0
Luxembourg,12-14 years,4.0
Luxembourg,15-17 years,6.0
Luxembourg,18-20 years,6.0
Luxembourg,3-5 years,11.0
Luxembourg,6-8 years,7.0
Luxembourg,9-11 years,12.0
Luxembourg,> 20 years,6.0
Madagascar,0-2 years,3.0
Madagascar,12-14 years,2.0
Madagascar,3-5 years,3.0
Madagascar,6-8 years,1.0
Madagascar,9-11 years,2.0
Malawi,6-8 years,1.0
Malaysia,0-2 years,65.0
Malaysia,12-14 years,5.0
Malaysia,15-17 years,15.0
Malaysia,18-20 years,7.0
Malaysia,3-5 years,75.0
Malaysia,6-8 years,26.0
Malaysia,9-11 years,28.0
Malaysia,> 20 years,7.0
Maldives,0-2 years,2.0
Maldives,3-5 years,4.0
Maldives,6-8 years,2.0
Mali,3-5 years,1.0
Mali,9-11 years,1.0
Malta,0-2 years,8.0
Malta,12-14 years,6.0
Malta,15-17 years,1.0
Malta,18-20 years,3.0
Malta,3-5 years,22.0
Malta,6-8 years,10.0
Malta,9-11 years,7.0
Malta,> 20 years,1.0
Mauritania,0-2 years,2.0
Mauritania,3-5 years,1.0
Mauritania,6-8 years,1.0
Mauritania,9-11 years,1.0
Mauritius,0-2 years,7.0
Mauritius,15-17 years,1.0
Mauritius,3-5 years,9.0
Mauritius,6-8 years,4.0
Mauritius,9-11 years,2.0
Mexico,0-2 years,143.0
Mexico,12-14 years,21.0
Mexico,15-17 years,22.0
Mexico,18-20 years,16.0
Mexico,3-5 years,189.0
Mexico,6-8 years,86.0
Mexico,9-11 years,65.0
Mexico,> 20 years,27.0
Monaco,0-2 years,1.0
Monaco,12-14 years,1.0
Monaco,> 20 years,2.0
Mongolia,0-2 years,3.0
Mongolia,12-14 years,1.0
Mongolia,3-5 years,5.0
Mongolia,6-8 years,1.0
Mongolia,9-11 years,5.0
Montenegro,0-2 years,7.0
Montenegro,18-20 years,1.0
Montenegro,3-5 years,5.0
Montenegro,9-11 years,2.0
Morocco,0-2 years,44.0
Morocco,12-14 years,1.0
Morocco,15-17 years,1.0
Morocco,3-5 years,25.0
Morocco,6-8 years,8.0
Morocco,9-11 years,5.0
Morocco,> 20 years,1.0
Mozambique,0-2 years,2.0
Mozambique,3-5 years,3.0
Mozambique,6-8 years,1.0
Mozambique,9-11 years,1.0
Myanmar,0-2 years,12.0
Myanmar,12-14 years,1.0
Myanmar,18-20 years,1.0
Myanmar,3-5 years,14.0
Myanmar,6-8 years,2.0
Myanmar,9-11 years,4.0
Myanmar,> 20 years,3.0
Namibia,0-2 years,1.0
Namibia,15-17 years,1.0
Namibia,6-8 years,1.0
Nepal,0-2 years,80.0
Nepal,18-20 years,1.0
Nepal,3-5 years,48.0
Nepal,6-8 years,16.0
Nepal,9-11 years,6.0
Nepal,> 20 years,2.0
Netherlands,0-2 years,288.0
Netherlands,12-14 years,126.0
Netherlands,15-17 years,104.0
Netherlands,18-20 years,92.0
Netherlands,3-5 years,395.0
Netherlands,6-8 years,248.0
Netherlands,9-11 years,183.0
Netherlands,> 20 years,127.0
New Zealand,0-2 years,89.0
New Zealand,12-14 years,34.0
New Zealand,15-17 years,25.0
New Zealand,18-20 years,37.0
New Zealand,3-5 years,98.0
New Zealand,6-8 years,67.0
New Zealand,9-11 years,40.0
New Zealand,> 20 years,59.0
Nicaragua,0-2 years,5.0
Nicaragua,12-14 years,1.0
Nicaragua,18-20 years,3.0
Nicaragua,3-5 years,12.0
Nicaragua,6-8 years,3.0
Nicaragua,9-11 years,1.0
Nicaragua,> 20 years,1.0
Nigeria,0-2 years,157.0
Nigeria,12-14 years,8.0
Nigeria,15-17 years,2.0
Nigeria,3-5 years,124.0
Nigeria,6-8 years,24.0
Nigeria,9-11 years,12.0
Norway,0-2 years,92.0
Norway,12-14 years,37.0
Norway,15-17 years,28.0
Norway,18-20 years,46.0
Norway,3-5 years,130.0
Norway,6-8 years,66.0
Norway,9-11 years,42.0
Norway,> 20 years,46.0
Oman,0-2 years,1.0
Oman,12-14 years,1.0
Oman,15-17 years,1.0
Oman,3-5 years,1.0
Oman,6-8 years,1.0
Oman,> 20 years,1.0
Other Country (Not Listed Above),0-2 years,23.0
Other Country (Not Listed Above),12-14 years,5.0
Other Country (Not Listed Above),15-17 years,3.0
Other Country (Not Listed Above),18-20 years,5.0
Other Country (Not Listed Above),3-5 years,29.0
Other Country (Not Listed Above),6-8 years,12.0
Other Country (Not Listed Above),9-11 years,11.0
Other Country (Not Listed Above),> 20 years,10.0
Pakistan,0-2 years,266.0
Pakistan,12-14 years,20.0
Pakistan,15-17 years,12.0
Pakistan,18-20 years,3.0
Pakistan,3-5 years,245.0
Pakistan,6-8 years,85.0
Pakistan,9-11 years,32.0
Pakistan,> 20 years,6.0
Panama,0-2 years,5.0
Panama,12-14 years,3.0
Panama,15-17 years,4.0
Panama,18-20 years,1.0
Panama,3-5 years,7.0
Panama,6-8 years,5.0
Panama,9-11 years,3.0
Panama,> 20 years,2.0
Paraguay,0-2 years,5.0
Paraguay,12-14 years,4.0
Paraguay,15-17 years,3.0
Paraguay,18-20 years,4.0
Paraguay,3-5 years,13.0
Paraguay,6-8 years,8.0
Paraguay,9-11 years,10.0
Peru,0-2 years,29.0
Peru,12-14 years,4.0
Peru,15-17 years,2.0
Peru,18-20 years,5.0
Peru,3-5 years,31.0
Peru,6-8 years,12.0
Peru,9-11 years,17.0
Peru,> 20 years,7.0
Philippines,0-2 years,102.0
Philippines,12-14 years,12.0
Philippines,15-17 years,4.0
Philippines,18-20 years,4.0
Philippines,3-5 years,92.0
Philippines,6-8 years,30.0
Philippines,9-11 years,28.0
Philippines,> 20 years,5.0
Poland,0-2 years,437.0
Poland,12-14 years,98.0
Poland,15-17 years,53.0
Poland,18-20 years,34.0
Poland,3-5 years,503.0
Poland,6-8 years,287.0
Poland,9-11 years,197.0
Poland,> 20 years,33.0
Portugal,0-2 years,107.0
Portugal,12-14 years,33.0
Portugal,15-17 years,18.0
Portugal,18-20 years,24.0
Portugal,3-5 years,118.0
Portugal,6-8 years,69.0
Portugal,9-11 years,57.0
Portugal,> 20 years,19.0
Qatar,0-2 years,3.0
Qatar,12-14 years,2.0
Qatar,18-20 years,2.0
Qatar,3-5 years,1.0
Qatar,6-8 years,4.0
Qatar,> 20 years,1.0
Republic of Korea,0-2 years,9.0
Republic of Korea,12-14 years,2.0
Republic of Korea,15-17 years,1.0
Republic of Korea,18-20 years,1.0
Republic of Korea,3-5 years,3.0
Republic of Korea,6-8 years,5.0
Republic of Korea,9-11 years,4.0
Republic of Moldova,0-2 years,13.0
Republic of Moldova,12-14 years,3.0
Republic of Moldova,18-20 years,1.0
Republic of Moldova,3-5 years,14.0
Republic of Moldova,6-8 years,6.0
Republic of Moldova,9-11 years,2.0
Romania,0-2 years,130.0
Romania,12-14 years,47.0
Romania,15-17 years,37.0
Romania,18-20 years,20.0
Romania,3-5 years,164.0
Romania,6-8 years,123.0
Romania,9-11 years,81.0
Romania,> 20 years,16.0
Russian Federation,0-2 years,329.0
Russian Federation,12-14 years,108.0
Russian Federation,15-17 years,66.0
Russian Federation,18-20 years,57.0
Russian Federation,3-5 years,403.0
Russian Federation,6-8 years,285.0
Russian Federation,9-11 years,192.0
Russian Federation,> 20 years,45.0
Rwanda,0-2 years,4.0
Rwanda,3-5 years,2.0
Rwanda,6-8 years,1.0
Rwanda,9-11 years,1.0
Rwanda,> 20 years,1.0
Saint Vincent and the Grenadines,3-5 years,1.0
San Marino,3-5 years,1.0
San Marino,6-8 years,1.0
Saudi Arabia,0-2 years,16.0
Saudi Arabia,12-14 years,4.0
Saudi Arabia,15-17 years,3.0
Saudi Arabia,18-20 years,2.0
Saudi Arabia,3-5 years,22.0
Saudi Arabia,6-8 years,13.0
Saudi Arabia,9-11 years,10.0
Saudi Arabia,> 20 years,5.0
Senegal,0-2 years,3.0
Senegal,15-17 years,1.0
Senegal,3-5 years,7.0
Senegal,6-8 years,3.0
Senegal,9-11 years,1.0
Senegal,> 20 years,1.0
Serbia,0-2 years,91.0
Serbia,12-14 years,23.0
Serbia,15-17 years,14.0
Serbia,18-20 years,13.0
Serbia,3-5 years,86.0
Serbia,6-8 years,45.0
Serbia,9-11 years,34.0
Serbia,> 20 years,8.0
Seychelles,15-17 years,1.0
Sierra Leone,3-5 years,2.0
Singapore,0-2 years,45.0
Singapore,12-14 years,18.0
Singapore,15-17 years,14.0
Singapore,18-20 years,6.0
Singapore,3-5 years,72.0
Singapore,6-8 years,49.0
Singapore,9-11 years,29.0
Singapore,> 20 years,9.0
Slovakia,0-2 years,43.0
Slovakia,12-14 years,16.0
Slovakia,15-17 years,16.0
Slovakia,18-20 years,5.0
Slovakia,3-5 years,48.0
Slovakia,6-8 years,35.0
Slovakia,9-11 years,22.0
Slovakia,> 20 years,8.0
Slovenia,0-2 years,44.0
Slovenia,12-14 years,10.0
Slovenia,15-17 years,21.0
Slovenia,18-20 years,20.0
Slovenia,3-5 years,76.0
Slovenia,6-8 years,33.0
Slovenia,9-11 years,32.0
Slovenia,> 20 years,13.0
Somalia,0-2 years,7.0
Somalia,3-5 years,2.0
South Africa,0-2 years,118.0
South Africa,12-14 years,31.0
South Africa,15-17 years,35.0
South Africa,18-20 years,35.0
South Africa,3-5 years,143.0
South Africa,6-8 years,81.0
South Africa,9-11 years,63.0
South Africa,> 20 years,35.0
South Korea,0-2 years,36.0
South Korea,12-14 years,9.0
South Korea,15-17 years,5.0
South Korea,18-20 years,9.0
South Korea,3-5 years,31.0
South Korea,6-8 years,14.0
South Korea,9-11 years,10.0
South Korea,> 20 years,3.0
Spain,0-2 years,296.0
Spain,12-14 years,104.0
Spain,15-17 years,93.0
Spain,18-20 years,81.0
Spain,3-5 years,365.0
Spain,6-8 years,241.0
Spain,9-11 years,173.0
Spain,> 20 years,88.0
Sri Lanka,0-2 years,73.0
Sri Lanka,12-14 years,6.0
Sri Lanka,15-17 years,5.0
Sri Lanka,18-20 years,1.0
Sri Lanka,3-5 years,99.0
Sri Lanka,6-8 years,49.0
Sri Lanka,9-11 years,15.0
Sri Lanka,> 20 years,1.0
Sudan,0-2 years,16.0
Sudan,3-5 years,5.0
Sudan,6-8 years,3.0
Swaziland,0-2 years,2.0
Swaziland,12-14 years,2.0
Swaziland,3-5 years,1.0
Swaziland,9-11 years,1.0
Sweden,0-2 years,188.0
Sweden,12-14 years,106.0
Sweden,15-17 years,58.0
Sweden,18-20 years,72.0
Sweden,3-5 years,251.0
Sweden,6-8 years,171.0
Sweden,9-11 years,142.0
Sweden,> 20 years,107.0
Switzerland,0-2 years,116.0
Switzerland,12-14 years,69.0
Switzerland,15-17 years,66.0
Switzerland,18-20 years,44.0
Switzerland,3-5 years,222.0
Switzerland,6-8 years,159.0
Switzerland,9-11 years,108.0
Switzerland,> 20 years,59.0
Syrian Arab Republic,0-2 years,11.0
Syrian Arab Republic,3-5 years,8.0
Syrian Arab Republic,6-8 years,1.0
Syrian Arab Republic,9-11 years,1.0
Syrian Arab Republic,> 20 years,2.0
Taiwan,0-2 years,43.0
Taiwan,12-14 years,5.0
Taiwan,15-17 years,4.0
Taiwan,18-20 years,1.0
Taiwan,3-5 years,53.0
Taiwan,6-8 years,28.0
Taiwan,9-11 years,10.0
Taiwan,> 20 years,5.0
Tajikistan,0-2 years,3.0
Tajikistan,3-5 years,2.0
Thailand,0-2 years,33.0
Thailand,12-14 years,14.0
Thailand,15-17 years,10.0
Thailand,18-20 years,12.0
