Country,YearsCodePro,YearsCodeProCount
Ukraine,0-2 years,90.0
Ukraine,12-14 years,22.0
Ukraine,15-17 years,26.0
Ukraine,18-20 years,12.0
Ukraine,3-5 years,128.0
Ukraine,6-8 years,61.0
Ukraine,9-11 years,55.0
Ukraine,> 20 years,14.0
United Arab Emirates,0-2 years,11.0
United Arab Emirates,12-14 years,5.0
United Arab Emirates,15-17 years,5.0
United Arab Emirates,18-20 years,1.0
United Arab Emirates,3-5 years,31.0
United Arab Emirates,6-8 years,15.0
United Arab Emirates,9-11 years,15.0
United Kingdom,0-2 years,550.0
United Kingdom,12-14 years,218.0
United Kingdom,15-17 years,224.0
United Kingdom,18-20 years,214.0
United Kingdom,3-5 years,742.0
United Kingdom,6-8 years,485.0
United Kingdom,9-11 years,327.0
United Kingdom,> 20 years,445.0
United Republic of Tanzania,0-2 years,7.0
United Republic of Tanzania,3-5 years,4.0
United Republic of Tanzania,6-8 years,3.0
United Republic of Tanzania,> 20 years,1.0
United States,0-2 years,1655.0
United States,12-14 years,722.0
United States,15-17 years,663.0
United States,18-20 years,650.0
United States,3-5 years,2315.0
United States,6-8 years,1442.0
United States,9-11 years,1040.0
United States,> 20 years,1458.0
Uruguay,0-2 years,10.0
Uruguay,12-14 years,9.0
Uruguay,15-17 years,7.0
Uruguay,18-20 years,3.0
Uruguay,3-5 years,22.0
Uruguay,6-8 years,16.0
Uruguay,9-11 years,10.0
Uruguay,> 20 years,8.0
Uzbekistan,0-2 years,7.0
Uzbekistan,12-14 years,1.0
Uzbekistan,15-17 years,1.0
Uzbekistan,3-5 years,5.0
Uzbekistan,6-8 years,2.0
Uzbekistan,9-11 years,3.0
"Venezuela, Bolivarian Republic of...",0-2 years,17.0
"Venezuela, Bolivarian Republic of...",12-14 years,5.0
"Venezuela, Bolivarian Republic of...",15-17 years,1.0
"Venezuela, Bolivarian Republic of...",18-20 years,1.0
"Venezuela, Bolivarian Republic of...",3-5 years,10.0
"Venezuela, Bolivarian Republic of...",6-8 years,5.0
"Venezuela, Bolivarian Republic of...",9-11 years,2.0
"Venezuela, Bolivarian Republic of...",> 20 years,5.0
Viet Nam,0-2 years,59.0
Viet Nam,12-14 years,7.0
Viet Nam,15-17 years,3.0
Viet Nam,18-20 years,2.0
Viet Nam,3-5 years,53.0
Viet Nam,6-8 years,26.0
Viet Nam,9-11 years,8.0
Viet Nam,> 20 years,4.0
Yemen,15-17 years,1.0
Yemen,3-5 years,2.0
Zambia,0-2 years,6.0
Zambia,3-5 years,4.0
Zambia,6-8 years,1.0
Zambia,9-11 years,1.0
Zimbabwe,0-2 years,6.0
Zimbabwe,12-14 years,1.0
Zimbabwe,3-5 years,8.0
Zimbabwe,6-8 years,3.0
